modelo,acurácia,precisão,recall,f1-score,f1_médio_validação_cruzada,desvio_f1_validação_cruzada
Floresta Aleatória,0.9974570883661793,0.997462652534906,0.9974570883661793,0.997457053422135,0.9968170144256732,0.000871312498674092
Gradient Boosting,0.996185632549269,0.9961981268685889,0.996185632549269,0.996182425583215,0.99411405067211,0.00204951367139462
Árvore de Decisão,0.9936427209154481,0.9936463979636574,0.9936427209154481,0.9936362904399543,0.9925270271477592,0.0033953797078573535
Regressão Logística,0.6681500317863954,0.6633898886349648,0.6681500317863954,0.663697654497027,0.6476329748630797,0.006131526976709155
